iter	Passed	Remaining
0	58	58282
1	58	29245
2	58	19558
3	59	14721
4	59	11806
5	59	9861
6	59	8476
7	59	7436
8	60	6628
9	60	5980
10	60	5451
11	60	5009
12	61	4634
13	61	4314
14	61	4036
15	61	3794
16	61	3579
17	62	3388
18	62	3218
19	62	3064
20	62	2926
21	62	2799
22	63	2686
23	63	2582
24	63	2485
25	63	2396
26	64	2312
27	64	2234
28	64	2162
29	64	2097
30	65	2033
31	65	1974
32	65	1918
33	65	1867
34	65	1818
35	66	1772
36	66	1728
37	66	1686
38	66	1646
39	67	1608
40	67	1572
41	67	1538
42	67	1505
43	67	1474
44	68	1444
45	68	1415
46	68	1388
47	68	1362
48	68	1336
49	69	1313
50	69	1289
51	69	1267
52	69	1245
53	69	1225
54	70	1205
55	70	1186
56	70	1168
57	70	1150
58	71	1132
59	71	1115
60	71	1099
61	71	1083
62	71	1068
63	72	1053
64	72	1038
65	72	1024
66	72	1011
67	72	998
68	73	985
69	73	973
70	73	961
71	73	949
72	73	938
73	74	927
74	74	916
75	74	905
76	74	896
77	75	886
78	75	876
79	75	867
80	75	857
81	75	848
82	75	838
83	76	829
84	76	821
85	76	812
86	76	805
87	76	797
88	77	789
89	77	782
90	77	774
91	77	767
92	78	762
93	78	755
94	78	748
95	78	742
96	79	735
97	79	729
98	79	723
99	79	717
100	80	712
101	80	706
102	80	700
103	80	694
104	80	689
105	81	683
106	81	678
107	81	673
108	81	667
109	81	662
110	82	657
111	82	652
112	82	647
113	82	643
114	83	638
115	83	634
116	83	629
117	83	624
118	83	620
119	83	615
120	84	612
121	84	607
122	84	603
123	84	599
124	85	595
125	86	597
126	86	593
127	86	589
128	86	586
129	87	582
130	87	579
131	87	576
132	87	572
133	88	569
134	88	565
135	88	562
136	88	558
137	88	555
138	89	551
139	89	549
140	89	545
141	89	541
142	89	539
143	90	535
144	90	532
145	90	529
146	90	526
147	90	523
148	91	520
149	91	518
150	91	516
151	92	513
152	92	511
153	92	508
154	92	506
155	93	503
156	93	501
157	93	498
158	93	495
159	93	493
160	94	490
161	94	487
162	94	485
163	94	483
164	94	480
165	95	481
166	96	479
167	96	476
168	96	474
169	96	472
170	96	469
171	97	467
172	97	465
173	97	463
174	97	460
175	97	458
176	98	456
177	98	454
178	98	452
179	98	450
180	99	448
181	99	446
182	99	444
183	99	442
184	99	440
185	100	438
186	100	436
187	100	434
188	100	432
189	100	430
190	101	428
191	101	426
192	101	424
193	101	422
194	102	421
195	102	419
196	102	417
197	102	416
198	102	414
199	103	412
200	103	410
201	103	409
202	103	407
203	104	405
204	104	404
205	104	402
206	104	401
207	105	400
208	105	398
209	105	397
210	105	395
211	106	394
212	106	392
213	106	391
214	106	389
215	106	388
216	107	386
217	107	384
218	107	383
219	107	381
220	108	380
221	108	379
222	108	377
223	108	376
224	108	375
225	109	373
226	109	372
227	109	371
228	109	370
229	110	368
230	110	367
231	110	366
232	110	364
233	110	363
234	111	362
235	111	360
236	111	359
237	111	358
238	112	357
239	112	356
240	112	354
241	112	353
242	113	352
243	113	351
244	113	349
245	113	348
246	113	347
247	114	345
248	114	344
249	114	343
250	114	342
251	114	341
252	115	340
253	115	338
254	115	337
255	115	336
256	116	335
257	116	334
258	116	333
259	116	332
260	116	330
261	117	330
262	117	328
263	117	327
264	117	326
265	118	325
266	118	326
267	119	325
268	119	324
269	119	323
270	119	322
271	120	321
272	120	320
273	120	319
274	120	318
275	120	317
276	121	316
277	121	315
278	121	314
279	121	313
280	122	312
281	122	311
282	122	310
283	122	309
284	122	308
285	123	307
286	123	306
287	123	305
288	123	304
289	123	303
290	124	302
291	124	301
292	124	300
293	124	299
294	125	299
295	125	298
296	125	297
297	125	296
298	126	295
299	126	294
300	126	294
301	127	293
302	127	292
303	127	291
304	127	290
305	127	289
306	128	290
307	129	289
308	129	289
309	129	288
310	129	287
311	129	286
312	130	285
313	130	284
314	130	283
315	130	282
316	130	282
317	131	281
318	131	280
319	131	279
320	131	278
321	132	277
322	132	277
323	132	276
324	132	275
325	132	274
326	133	273
327	133	273
328	133	272
329	133	271
330	133	270
331	134	270
332	134	269
